EvidenceID,Source,Line,Fact,CollectedBy
E001,e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md,7-10,"タグを仕様書から機械抽出して埋める運用が必須と明記",A01
E002,e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md,70-72,"年分別マッピングと更新履歴追従が必要",A01
E003,e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md,110-117,"TaxYearDefinitionにforms(formId/formVer/mappingFile)を持つ設計を要求",A02
E004,e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md,158-162,"全internalKeyにxmlTag 100%埋め込みが受入条件",A02
E005,e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md,385-390,"xmlTag/format/requiredRuleの強制と不充足時エクスポート不可を要求",A03
E006,e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md,178-179,"高機微情報は端末内暗号化・同意・エクスポート除外を必須化",A10
E007,e-taxall/確定申告仕様書/Project Profit iOS：複式簿記コア導入・完全仕様書（外注実装用）.md,6,"送信（ログイン/署名/送信操作）は非スコープ",A05
E008,docs/etaxall-audit/extracted/api_spec.txt,89-90,"API呼出しにX-Etax-Api-KeyとAuthorizationトークンが必須",A05
E009,docs/etaxall-audit/extracted/api_spec.txt,92,"ブラウザ呼出し非対応でサーバーサイド処理が必要",A05
E010,docs/etaxall-audit/extracted/api_spec.txt,122,"本番APIドメインは api.e-tax.nta.go.jp",A05
E011,docs/etaxall-audit/extracted/e_signature_spec.txt,20-24,"電子署名はXML署名、SHA-1/SHA-256を許容",A06
E012,docs/etaxall-audit/extracted/e_signature_spec.txt,65,"1送信データに複数XML署名を付与可能",A06
E013,docs/etaxall-audit/extracted/send_receive_module_spec.txt,10-27,"CLICommunication/CreateRequest/Send/GetResponseの連携が前提",A07
