ID,Type,Parent Epic,Title,Priority,Estimate,Cycle,Labels,Dependencies,Description
EPIC-01,Epic,,基盤凍結・移行準備・カットオーバー管理,P0,,,"epic,platform,migration",,現行機能の比較基準を固定し、段階移行と安全なリリースを可能にする。
EPIC-02,Epic,,Canonical Domain・永続化・正本一本化,P0,,,"epic,domain,persistence",,証憑→候補→確定仕訳を唯一の正本にし、二重台帳を解消する。
EPIC-03,Epic,,税務状態マシン・税ルールエンジン,P0,,,"epic,tax,rules",,青色/白色・消費税・インボイス特例を年分ごとに安全に判定できるようにする。
EPIC-04,Epic,,証憑台帳・オンデバイス Document Intake,P0,,,"epic,evidence,ocr,on-device-ai",,原本保存、OCR、抽出、検索、履歴、重複検知を備えた証憑基盤を構築する。
EPIC-05,Epic,,Posting・定期取引・自動配賦・照合,P0,,,"epic,posting,automation,distribution",,候補生成→承認→確定→照合を一貫させ、月次の自動化を最大化する。
EPIC-06,Epic,,帳簿Projection・決算整理・消費税集計表,P0,,,"epic,books,projection,vat",,すべての帳簿を確定仕訳から再生成し、決算整理と消費税集計を完成させる。
EPIC-07,Epic,,青色/白色帳票・FormEngine・e-Tax,P0,,,"epic,forms,etax,filing",,収支内訳書・青色申告決算書・e-Tax XML を年分パックで生成可能にする。
EPIC-08,Epic,,UI/UX・マスタ管理・業種汎用化,P1,,,"epic,ui,masters,workflow",,証憑中心 UX と、勘定科目・ジャンル・取引先の拡張性を両立させる。
EPIC-09,Epic,,Import/Export・バックアップ・外部明細,P1,,,"epic,import,export,backup",,大量入力・帳簿配布・保全を実務レベルに引き上げる。
EPIC-10,Epic,,QA・性能・回帰・リリース,P0,,,"epic,qa,performance,release",,税務・帳簿・移行の壊れを自動検知し、安全に切り替える。
PP-001,Task,EPIC-01,現行機能インベントリと画面/出力物のベースラインを固定する,P0,3,Sprint 1,"platform,baseline,audit",,"目的: 現行機能、モデル、サービス、画面、帳票、テストを棚卸しし、比較対象を固定する。
スコープ: 機能一覧 / 画面一覧 / モデル一覧 / 出力物サンプル / 既知不具合一覧
依存: なし
完了条件: 現行出力の golden サンプルが保存されている / 以降のリファクタリング比較基準として使える"
PP-002,Task,EPIC-01,Golden dataset と帳簿/帳票スナップショットを作成する,P0,3,Sprint 1,"qa,golden-data,snapshot",PP-001,"目的: 青色、白色、消費税、棚卸、固定資産、定期取引の代表データセットを整備する。
スコープ: 青色65ケース / 白色ケース / 2割特例ケース / 軽減税率混在ケース / 定期取引配賦ケース
依存: PP-001
完了条件: 各ケースに期待帳簿と期待帳票がある / CI で再利用できる"
PP-003,Task,EPIC-01,Feature Flag と parallel-run 比較基盤を導入する,P0,2,Sprint 1,"platform,feature-flag,parallel-run",PP-001,"目的: 新旧エンジンを並走させ、差分比較と段階的リリースを可能にする。
スコープ: 新旧 engine 切替フラグ / migration dry-run フラグ / debug diff view
依存: PP-001
完了条件: 新旧の帳簿出力を同一データで比較できる"
PP-004,Task,EPIC-02,Domain モジュール構成と命名規則を確定する,P0,2,Sprint 1,"domain,architecture",PP-001,"目的: Business/Tax/Evidence/Posting/Books/Forms/Automation の責務を定義し、以後の実装先を固定する。
スコープ: ディレクトリ作成 / README / 命名規則
依存: PP-001
完了条件: 新規コードの置き場が明確 / 旧 Models.swift への追記禁止ルールが決まる"
PP-005,Task,EPIC-02,BusinessProfile と TaxYearProfile を新設する,P0,3,Sprint 1,"domain,tax-year,profile",PP-004,"目的: 事業者共通情報と年分固有の税務状態を分離した新 canonical profile を導入する。
スコープ: BusinessProfile / TaxYearProfile / migration adapter
依存: PP-004
完了条件: 青色/白色・青色控除レベル・VAT方式を保持できる / 旧 isBlueReturn 依存が縮退開始する"
PP-006,Task,EPIC-02,Counterparty / Genre / IndustryPreset を新設する,P0,3,Sprint 1,"domain,masters,genre,counterparty",PP-004,"目的: 取引先マスタ、自由分析用ジャンル、業種プリセットを定義して、拡張性の土台を作る。
スコープ: Counterparty / GenreMaster / IndustryPreset
依存: PP-004
完了条件: T番号・既定勘定科目・既定税区分・既定ジャンルを保持できる"
PP-007,Task,EPIC-02,ChartOfAccounts v2 と legal mapping モデルを定義する,P0,3,Sprint 1,"domain,accounts,legal-mapping",PP-004,"目的: system account と custom account を分離し、法定帳票マッピングを必須化する。
スコープ: AccountGroup / LegalLineMapping / custom account policy
依存: PP-004
完了条件: ユーザー追加勘定科目が帳票へ落とせる設計になる"
PP-008,Task,EPIC-02,Evidence / Candidate / PostedJournal の canonical モデルを定義する,P0,5,Sprint 1,"domain,evidence,posting",PP-004,"目的: 証憑、取引候補、仕訳候補、確定仕訳の新しい正本系列を定義する。
スコープ: EvidenceDocument / EvidenceVersion / TransactionCandidate / PostingCandidate / PostedJournal
依存: PP-004
完了条件: 会計正本が 1 系統に整理される / AI候補と確定仕訳が分離される"
PP-009,Task,EPIC-01,移行マッピング RFC を作成し、旧→新対応表を確定する,P0,2,Sprint 1,"migration,rfc","PP-005,PP-006,PP-007,PP-008","目的: 旧 DataStore / LedgerDataStore / document record を新 canonical model へ移す対応表を文書化する。
スコープ: migration matrix / known risks / fallback rules
依存: PP-005 / PP-006 / PP-007 / PP-008
完了条件: 各旧モデルに新保存先が定義されている"
PP-010,Task,EPIC-02,Repository 層を新設し DataStore 依存を縮退させる,P0,5,Sprint 2,"persistence,repository,refactor",PP-008,"目的: 巨大な DataStore を repository/use-case 構成へ移し、ドメインと永続化の境界を引く。
スコープ: BusinessProfileRepository / EvidenceRepository / PostingRepository / ProjectRepository
依存: PP-008
完了条件: 新規コードが DataStore に直接集約されない"
PP-011,Task,EPIC-02,Evidence file store と metadata store を分離する,P0,3,Sprint 2,"evidence,storage,files",PP-008,"目的: 原本ファイル保存と DB メタデータ保存を分離し、ハッシュ・MIME・file protection を標準化する。
スコープ: file store abstraction / content hash / stable file id
依存: PP-008
完了条件: 原本ファイルが evidence metadata と一意に結び付く"
PP-012,Task,EPIC-04,Evidence / Journal 検索インデックスを実装する,P0,3,Sprint 2,"search,compliance,evidence",PP-011,"目的: 日付・金額・取引先・T番号・プロジェクトで高速検索できるインデックスを作る。
スコープ: search index / query primitives / reindex job
依存: PP-011
完了条件: 電子取引保存を意識した検索導線が動く"
PP-013,Task,EPIC-01,Migration Runner と dry-run レポートを実装する,P0,5,Sprint 2,"migration,dry-run,report","PP-009,PP-010,PP-011","目的: 本移行前に件数差分・孤立データ・変換失敗を可視化する dry-run を作る。
スコープ: runner / diff report / error buckets
依存: PP-009 / PP-010 / PP-011
完了条件: 実データで dry-run できる / 本番移行前に問題を洗える"
PP-014,Task,EPIC-09,Snapshot backup / restore を実装する,P1,3,Sprint 2,"backup,restore,safety",PP-010,"目的: 年分単位と全体バックアップをローカルで保存/復元できるようにする。
スコープ: snapshot export / snapshot import / checksum
依存: PP-010
完了条件: 移行前後に退避・復元ができる"
PP-015,Task,EPIC-07,TaxYearPack loader と schema を導入する,P0,4,Sprint 2,"tax-year-pack,forms,etax",PP-005,"目的: 年分ごとの field map / validation / XML version を読む TaxYearPack 基盤を作る。
スコープ: TaxYearPack schema / loader / 2025/2026 skeleton
依存: PP-005
完了条件: 単一 JSON 依存から脱却できる"
