formName,section,internalKey,fieldLabelJP,xmlTag,dataType
blue_general,revenue,revenue_sales_revenue,ア 売上（収入）金額,BlueRevenueSales,number
blue_general,revenue,revenue_other_income,カ 雑収入,BlueRevenueOther,number
blue_general,expenses,expense_rent,地代家賃,BlueExpenseRent,number
blue_general,expenses,expense_utilities,水道光熱費,BlueExpenseUtilities,number
blue_general,expenses,expense_travel,旅費交通費,BlueExpenseTravel,number
blue_general,expenses,expense_communication,通信費,BlueExpenseCommunication,number
blue_general,expenses,expense_advertising,広告宣伝費,BlueExpenseAdvertising,number
blue_general,expenses,expense_entertainment,接待交際費,BlueExpenseEntertainment,number
blue_general,expenses,expense_depreciation,減価償却費,BlueExpenseDepreciation,number
blue_general,expenses,expense_repair,修繕費,BlueExpenseRepair,number
blue_general,expenses,expense_supplies,消耗品費,BlueExpenseSupplies,number
blue_general,expenses,expense_welfare,福利厚生費,BlueExpenseWelfare,number
blue_general,expenses,expense_outsourcing,外注工賃,BlueExpenseOutsourcing,number
blue_general,expenses,expense_misc,雑費,BlueExpenseMisc,number
blue_general,income,income_total_revenue,収入金額合計,BlueIncomeTotalRevenue,number
blue_general,income,income_total_expenses,必要経費合計,BlueIncomeTotalExpenses,number
blue_general,income,income_net,所得金額,BlueIncomeNet,number
common,declarantInfo,declarant_name,氏名,CommonName,text
common,declarantInfo,declarant_name_kana,氏名カナ,CommonNameKana,text
common,declarantInfo,declarant_postal_code,郵便番号,CommonPostalCode,text
common,declarantInfo,declarant_address,住所,CommonAddress,text
common,declarantInfo,declarant_phone,電話番号,CommonPhone,text
common,declarantInfo,declarant_business_name,屋号,CommonBusinessName,text
common,declarantInfo,declarant_business_category,事業種類,CommonBusinessCategory,text
common,declarantInfo,declarant_birth_date,生年月日,CommonBirthDate,text
common,declarantInfo,declarant_my_number_flag,マイナンバー提出有無,CommonMyNumberFlag,flag
blue_general,inventory,inventory_opening,期首商品棚卸高,BlueInventoryOpening,number
blue_general,inventory,inventory_purchases,仕入高,BlueInventoryPurchases,number
blue_general,inventory,inventory_closing,期末商品棚卸高,BlueInventoryClosing,number
blue_general,inventory,inventory_cogs,売上原価,BlueInventoryCogs,number
blue_general,balanceSheet,bs_total_assets,資産合計,BlueBSTotalAssets,number
blue_general,balanceSheet,bs_total_liabilities,負債合計,BlueBSTotalLiabilities,number
blue_general,balanceSheet,bs_total_equity,資本合計,BlueBSTotalEquity,number
white_shushi,revenue,shushi_revenue_total,収入金額,WhiteIncomeTotal,number
white_shushi,expenses,shushi_expense_rent,地代家賃,WhiteExpenseRent,number
white_shushi,expenses,shushi_expense_utilities,水道光熱費,WhiteExpenseUtilities,number
white_shushi,expenses,shushi_expense_travel,旅費交通費,WhiteExpenseTravel,number
white_shushi,expenses,shushi_expense_communication,通信費,WhiteExpenseCommunication,number
white_shushi,expenses,shushi_expense_advertising,広告宣伝費,WhiteExpenseAdvertising,number
white_shushi,expenses,shushi_expense_entertainment,接待交際費,WhiteExpenseEntertainment,number
white_shushi,expenses,shushi_expense_depreciation,減価償却費,WhiteExpenseDepreciation,number
white_shushi,expenses,shushi_expense_repair,修繕費,WhiteExpenseRepair,number
white_shushi,expenses,shushi_expense_supplies,消耗品費,WhiteExpenseSupplies,number
white_shushi,expenses,shushi_expense_welfare,福利厚生費,WhiteExpenseWelfare,number
white_shushi,expenses,shushi_expense_outsourcing,外注工賃,WhiteExpenseOutsourcing,number
white_shushi,expenses,shushi_expense_misc,雑費,WhiteExpenseMisc,number
white_shushi,expenses,shushi_expense_total,経費合計,WhiteExpenseTotal,number
white_shushi,income,shushi_income_net,所得金額,WhiteIncomeNet,number
white_shushi,deductions,shushi_rent_breakdown,地代家賃合計,WhiteRentBreakdownTotal,number
